gamma	p	p1	p5	p10	p20
4	0.01	46681	8959	4244	1887
4	0.1	8180	1570	744	331
4	0.5	10891	2091	991	441
4	0.8	31473	6041	2862	1272
2	0.01	403970	77530	36725	16323
2	0.1	52709	10116	4792	2130
2	0.5	35285	6772	3208	1426
2	0.8	79391	15237	7218	3208
1.5	0.01	1599920	307056	145448	64644
1.5	0.1	192105	36869	17465	7762
1.5	0.5	98013	18811	8911	3961
1.5	0.8	192105	36869	17465	7762
